Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1872,1,1,,1872,12,31,,before 1872,Study of Part of the Trees in Turner's 'Crossing the Brook',<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159475'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD/WA_RS_RUD_294-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD/WA_RS_RUD_294-L.jpg,title,,#3f83e8
1869,1,1,,1869,12,31,,1869,Old Vevay,"Fine Arts Department, Harvard University, Cambridge, MA, Transferred to the Fogg Art Museum, 1926.
<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/298749'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:VRS48797_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS48797_dynmc,title,,#00758F
1856,1,1,,1856,12,31,,probably spring 1856,Study of a few Blades of Grass as they Grew,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159350'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_006-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_006-a-L.jpg,title,,#3f83e8
1861,1,1,,1861,12,31,,probably 17 - 19 October 1861,The Kapellbrücke at Luzern (Lucerne),<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159429'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_116-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_116-a-L.jpg,title,,#3f83e8
1874,1,1,,1874,12,31,,October 1874,Mont Blanc from Saint-Martin-sur-Arve,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159583'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_288-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_288-a-L.jpg,title,,#3f83e8
1835,1,1,,1835,12,31,,1835,"Bergamo and the Alps, from the road to Brescia",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object//48682'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1949/WA_1949_0000/WA_1949_252-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1949/WA_1949_0000/WA_1949_252-a-L.jpg,title,,#3f83e8
1881,1,1,,1881,12,31,,1881,Study of a capital,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object//48944'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1951/WA_1951_0000/WA_1951_135-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1951/WA_1951_0000/WA_1951_135-a-L.jpg,title,,#3f83e8
1877,1,1,,1878,12,31,,1877-1878,Early Byzantine Carving,"Fine Arts Department, Harvard University, transferred; to Fogg Art Museum, 1924<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/299119'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:VRS48783_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS48783_dynmc,title,,#00758F
1841,1,1,,1841,12,31,,6 - 16 May 1841,"The Palazzo Contarini-Fasan, Venice",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159604'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_REF_065-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_REF_065-a-L.jpg,title,,#3f83e8
1871,1,1,,1871,12,31,,probably October 1871,"Study of a Kingfisher, with dominant Reference to Colour",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/230772'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_201-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_201-a-L.jpg,title,,#3f83e8
1870,1,1,,1870,12,31,,30 August - 1 September 1870,Sketch of the head of a living lion,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159690'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_047-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_047-a-L.jpg,title,,#3f83e8
1869,1,1,,1869,12,31,,May 1869,"Pilaster on the unfinished Facade of Sant' Anastasia, Verona",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159413'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_093-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_093-a-L.jpg,title,,#3f83e8
1842,1,1,,1844,12,31,,1842 - 1844,"Outline of Leaves of Oak, touched with Colour",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159452'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_253_a-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_253_a-a-L.jpg,title,,#3f83e8
1871,1,1,,1872,12,31,,probably 1871 - 1872,"Drawing of a Squirrel and a Bird's Nest, enlarged from a Manuscript in the Bodleian Library",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159669'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_040-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_040-a-L.jpg,title,,#3f83e8
1882,1,1,,1882,12,31,,1882,Ponte Vecchio,<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/296901'>Artwork homepage</a>,https://nrs.harvard.edu/urn-3:HUAM:INV121898_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:INV121898_dynmc,title,,#00758F
1846,1,1,,1846,12,31,,11 May 1846,"The Gryphon bearing the south Shaft of the west Entrance of the Duomo, Verona",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159405'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_081-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_081-L.jpg,title,,#3f83e8
1871,1,1,,1871,12,31,,probably 1871,"Sepia Sketch of Leafage, further carried: Study from Ruskin's Photograph of the Courtyard of a late Gothic wooden House at Abbeville",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159472'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_291-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_291-a-L.jpg,title,,#3f83e8
1855,1,1,,1855,12,31,,c. 1855,"Design for a window in the University Museum, Oxford",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/176331'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1931/WA_1931_0000/WA_1931_56-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1931/WA_1931_0000/WA_1931_56-a-L.jpg,title,,#3f83e8
1844,1,1,,1844,12,31,,1844,"Convent and Alpine Pass, Visp, Switzerland",<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/299103'>Artwork homepage</a>,https://nrs.harvard.edu/urn-3:HUAM:INV003789_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:INV003789_dynmc,title,,#00758F
1871,1,1,,1872,12,31,,probably 1871 - 1872,Study of a Shield,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159833'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_UF_09-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_UF_09-a-L.jpg,title,,#3f83e8
1871,1,1,,1871,12,31,,after 23 December 1871,"Study of the Form of a Shield, from the north Aisle of Westminster Abbey",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159649'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_010-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_010-a-L.jpg,title,,#3f83e8
1869,1,1,,1869,12,31,,probably May - June 1869,"Study in Colour of one of the Niches surrounding the Tomb of Cansignorio della Scala at Verona, with Remains of the 'Casa di Romeo'",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159599'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_REF_060-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_REF_060-a-L.jpg,title,,#3f83e8
1854,1,1,,1856,12,31,,1854 - 1856,Pine Forest on Mont Cenis,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159576'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_275-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_275-a-L.jpg,title,,#3f83e8
1855,1,1,,1855,12,31,,c. 1855,"Design for a window in the University Museum, Oxford",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/176327'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1931/WA_1931_0000/WA_1931_52-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1931/WA_1931_0000/WA_1931_52-a-L.jpg,title,,#3f83e8
1872,1,1,,1872,12,31,,before 1872,Enlarged Drawing of a Primrose Leaf,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159809'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_289-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_289-a-L.jpg,title,,#3f83e8
1849,1,1,,1852,12,31,,1849-1852,Studies in St. Mark's,"Fine Arts Department, Harvard University, Cambridge, MA, Transferred to the Fogg Art Museum, 1926.
<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/299181'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:70227_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:70227_dynmc,title,,#00758F
1870,1,1,,1870,12,31,,probably 1870,Asphodel ('Wild Hyacinth of Jura'),<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159366'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_023-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_023-a-L.jpg,title,,#3f83e8
1846,1,1,,1846,12,31,,30 June - 1 July 1846,"Lateral View of the Façade San Michele in Foro, Lucca",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159409'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_085-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_085-a-L.jpg,title,,#3f83e8
1849,1,1,,1849,12,31,,1849,"Architectural Studies: Lintels, Abacus Heads, Arches, etc. (House of Dandolo)","Fine Arts Department, Harvard University, Cambridge, MA, Transferred to the Fogg Art Museum, 1926.
<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/299178'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:DDC100827_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:DDC100827_dynmc,title,,#00758F
1850,1,1,,1850,12,31,,1850,"Architectural Sketch: Section of Door Jamb, Saint Stefano","Fine Arts Department, Harvard University, Cambridge, MA, Transferred to the Fogg Art Museum, 1926.
<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/299179'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:VRS48789_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS48789_dynmc,title,,#00758F
1846,1,1,,1846,12,31,,30 June - 1 July 1846,"Part of the Façade of the destroyed Church of San Michele in Foro, Lucca, sketched in colour",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159408'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_084-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_084-a-L.jpg,title,,#3f83e8
1869,1,1,,1869,12,31,,probably 1869,"Drawing of the Outline of Hare's-tail Cottongrass (Eriophorum vaginatum), from the Engraving in the Floræ Danicæ",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159799'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_276-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_276-a-L.jpg,title,,#3f83e8
1845,1,1,,1855,12,31,,mid-1850s,Tree Study,Gift of John Nichols Estabrook and Dorothy Coogan Estabrook<br/><br/><a target='_new' href='https://www.nga.gov/collection/art-object-page.70367.html'>Artwork homepage</a>,"https://api.nga.gov/iiif/9310c903-7099-4138-b380-d90af8b06703/full/!500,500/0/default.jpg",National Gallery of Art,,"https://api.nga.gov/iiif/9310c903-7099-4138-b380-d90af8b06703/full/!500,500/0/default.jpg",title,,#E8A798
1849,1,1,,1852,12,31,,1849-1852,"Panel Moldings, Sarcophagi","Fine Arts Department, Harvard University, Cambridge, MA, Transferred to the Fogg Art Museum, 1926.
<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/299092'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:VRS48790_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS48790_dynmc,title,,#00758F
1849,1,1,,1849,12,31,,1849,Architectural Study at Sens: Sketch of Foolish Virgin Relief,"Fine Arts Department, Harvard University, Cambridge, MA, Transferred to the Fogg Art Museum, 1926.
<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/299180'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:VRS48791_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS48791_dynmc,title,,#00758F
1863,1,1,,1869,12,31,,c. 1863-1869,Street Scene,<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/297464'>Artwork homepage</a>,https://nrs.harvard.edu/urn-3:HUAM:VRS46315_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS46315_dynmc,title,,#00758F
1871,1,1,,1871,12,31,,before 1871,Houseleek,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159367'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_024-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_024-a-L.jpg,title,,#3f83e8
1870,1,1,,1870,12,31,,probably May - June 1870,"Drawing of a Branch of Oak from Cima's 'Saint John the Baptist with Saints Peter, Mark, Jerome and Paul'",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159808'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_287-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_287-a-L.jpg,title,,#3f83e8
1845,1,1,,1845,12,31,,1845,The Pass of Faido,<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/299114'>Artwork homepage</a>,https://nrs.harvard.edu/urn-3:HUAM:779018,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:779018,title,,#00758F
1855,1,1,,1855,12,31,,c. 1855,"Design for a window in the University Museum, Oxford",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/176326'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1931/WA_1931_0000/WA_1931_51-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1931/WA_1931_0000/WA_1931_51-a-L.jpg,title,,#3f83e8
1858,1,1,,1858,12,31,,16 - 18 May 1858,"Basle (Basel), with Outline of the Mountains of the Black Forest",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159432'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_122-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_122-a-L.jpg,title,,#3f83e8
1852,1,1,,1852,12,31,,1852,Study for Detail of the Sarcophagus and Canopy of the Tomb of Mastino II della Scala at Verona,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159598'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_REF_059-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_REF_059-a-L.jpg,title,,#3f83e8
1874,1,1,,1875,12,31,,probably 1874 - 1875,Study of a Piece of rolled Gneiss,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159577'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_276-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_276-a-L.jpg,title,,#3f83e8
1870,1,1,,1872,12,31,,1870 - 1872,A Symbolic Shield of Saint Michael (drawing of an Illumination in the Douce Apocalypse),<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159648'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_009-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_009-a-L.jpg,title,,#3f83e8
1866,1,1,,1866,12,31,,1866(?),View of the Valley of Lauterbrunnen,"Samuel Sachs, gift; to Fogg Art Museum, 1919<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/298601'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:VRS48777_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS48777_dynmc,title,,#00758F
1871,1,1,,1872,12,31,,probably 1871 - 1872,"Three Shields carrying Arms, said by Ruskin to be those of King Edward the Martyr, King Ethelred the Unready, and King Edmund Ironside",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159832'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_UF_08-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_UF_08-a-L.jpg,title,,#3f83e8
1872,1,1,,1872,12,31,,c. 1872,"Engraving of Ruskin's drawing of Growing Shoot of Mock Privet (Phillyrea), seen in Profile",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159473'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_292-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_292-a-L.jpg,title,,#3f83e8
1855,1,1,,1855,12,31,,c. 1855,"Design for a window in the University Museum, Oxford",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/176330'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1931/WA_1931_0000/WA_1931_55-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_1931/WA_1931_0000/WA_1931_55-a-L.jpg,title,,#3f83e8
1852,1,1,,1852,12,31,,probably 1852,"Part of the Palazzo Priuli, Venice",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159536'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_210-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_210-a-L.jpg,title,,#3f83e8
1850,1,1,,1850,12,31,,1850,"Architectural Sketch, Venice",<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/296900'>Artwork homepage</a>,https://nrs.harvard.edu/urn-3:HUAM:VRS44671_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS44671_dynmc,title,,#00758F
1869,1,1,,1869,12,31,,May - August 1869,Life-size Drawing of the left-hand Dog supporting the Sarcophagus of Cangrande I della Scala,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159404'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_079_a-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_079_a-a-L.jpg,title,,#3f83e8
1857,1,1,,1857,12,31,,probably 1857,"Study of Young Leaves of Plane, in Light and Shade",<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159453'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_254-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_ED_254-a-L.jpg,title,,#3f83e8
1879,1,1,,1879,12,31,,1879,Study for Growth of Wild Violet,"Fine Arts Department, Harvard University, Cambridge, MA, Transferred to the Fogg Art Museum, 1926.
<br/><br/><a target='_new' href='https://www.harvardartmuseums.org/collections/object/298363'>Artwork homepage</a>",https://nrs.harvard.edu/urn-3:HUAM:VRS48810_dynmc,Harvard Art Museum,,https://nrs.harvard.edu/urn-3:HUAM:VRS48810_dynmc,title,,#00758F
1845,1,1,,1845,12,31,,c. 1845,Tower of the Cathedral at Sens,Gift of William B. O'Neal<br/><br/><a target='_new' href='https://www.nga.gov/collection/art-object-page.70238.html'>Artwork homepage</a>,"https://api.nga.gov/iiif/49a6128c-8d5a-4b00-beb3-36b29b97c0a1/full/!500,500/0/default.jpg",National Gallery of Art,,"https://api.nga.gov/iiif/49a6128c-8d5a-4b00-beb3-36b29b97c0a1/full/!500,500/0/default.jpg",title,,#E8A798
1858,1,1,,1858,12,31,,1858,Drawing of an Illumination from the Psalter and Hours of Isabelle of France,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/222332'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_WAL_15_a-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_WAL_15_a-a-L.jpg,title,,#3f83e8
1843,1,1,,1843,12,31,,probably 1843,Leaf Contour: Laburnum,<br/><br/><a target='_new' href='https://collections.ashmolean.org/collection/browse-9148/object/159804'>Artwork homepage</a>,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_281-a-L.jpg,Ashmolean Museum,,https://collections.ashmolean.org/media/ashmole6_collection/w800/Collections/Single_Objects/WA/WA_RS/WA_RS_RUD_281-a-L.jpg,title,,#3f83e8
